	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	r1	r2	r3	r4	r5	r6
egr2b	4.7690432360221e-68	2.08094953429167	0.726	0.017	9.30058811889031e-64	0.0144927536231884	0	3.61111111111111	0.053030303030303	4.87301587301587	0
epha4a	4.0123972519181e-56	2.50929961770835	0.801	0.26	7.82497712069069e-52	0.347826086956522	0.686567164179105	10.3650793650793	0.772727272727272	9.83333333333333	0.222222222222222
sema3fb	1.01308234513365e-54	2.24697976599636	0.738	0.159	1.97571318947964e-50	0.202898550724638	0.17910447761194	6.47619047619047	0.522727272727273	6.68253968253967	0.0888888888888889
egr2a	1.78254977690975e-43	1.41021569558746	0.517	0.01	3.47632857492939e-39	0	0.0149253731343284	1.30952380952381	0.0151515151515152	2.98412698412698	0
col7a1l	9.59341697546092e-34	-1.17749901315457	0.128	0.574	1.87090817855439e-29	0.0289855072463768	0.805970149253732	0.246031746031746	2.24242424242424	0.246031746031746	1.61111111111111
timp2b	7.17215406422014e-31	1.62257496256168	0.449	0.045	1.39871348560421e-26	0.0869565217391304	0.119402985074627	2.8015873015873	0.0303030303030303	2.93650793650793	0.0666666666666667
efnb3b	2.3235138745114e-28	-0.96815447430923	0.604	0.913	4.53131675807213e-24	3.47826086956522	4.14925373134328	0.888888888888889	3.76515151515152	1.67460317460317	5.47777777777777
nab1b	7.89067449776405e-28	0.834777914130596	0.464	0.069	1.53883934055394e-23	0.101449275362319	0.0597014925373134	1.31746031746032	0.113636363636364	1.06349206349206	0.1
myo1cb	3.67646038719817e-27	0.915610391236913	0.368	0.017	7.16983304711387e-23	0.0579710144927536	0	1.04761904761905	0.0303030303030303	1.26190476190476	0.0111111111111111
epha4b	3.78877821919369e-22	-1.00291678174267	0.667	0.862	7.38887528307154e-18	2.30434782608696	4.28358208955224	1.85714285714286	5.37878787878788	2.88888888888889	7.32222222222222
sema3ab	3.85386462470648e-20	0.722965313294517	0.29	0.017	7.51580679110257e-16	0.0144927536231884	0.0149253731343284	0.253968253968254	0.00757575757575758	1.46825396825397	0.0333333333333333
midn	2.76895118795583e-19	0.932773105909868	0.773	0.616	5.40000860675146e-15	0.521739130434783	1.26865671641791	3.42857142857142	1.03030303030303	4.5079365079365	1.44444444444444
gria1a	2.07325396583245e-14	0.660668133733756	0.246	0.031	4.04325988416645e-10	0.0144927536231884	0.0447761194029851	0.206349206349206	0.00757575757575758	1.4047619047619	0.0666666666666667
plxna2	7.79733822085665e-13	-0.660115419212666	0.121	0.36	1.52063689983146e-08	0.130434782608696	1.53731343283582	0.285714285714286	0.992424242424242	0.174603174603175	0.322222222222222
slc1a6	3.67877396123789e-12	0.352158593997684	0.171	0.007	7.17434497920613e-08	0	0.0149253731343284	0.444444444444444	0	0.293650793650794	0.0222222222222222
ddr1	5.35098513298684e-12	-0.582492920028903	0.573	0.779	1.04354912063509e-07	1.55072463768116	3	1.19047619047619	2.31818181818182	1.65873015873016	2.94444444444444
brinp2	1.19427489983162e-11	0.653822485687303	0.237	0.048	2.32907490965162e-07	0.0434782608695652	0.0895522388059702	0.849206349206349	0.053030303030303	0.809523809523809	0.0333333333333333
tenm3	1.54207733473128e-10	0.634649339172114	0.623	0.419	3.00735921819294e-06	1.2463768115942	0.656716417910448	1.26984126984127	0.742424242424242	2.6031746031746	0.977777777777778
ackr3b	2.02800278828631e-10	0.667151658563276	0.533	0.311	3.95501103771596e-06	0.318840579710145	0.313432835820895	0.809523809523809	0.371212121212121	2.57142857142857	0.855555555555555
tox3	2.42681195887485e-10	0.61350209457968	0.713	0.533	4.73276868219773e-06	0.710144927536232	1.40298507462687	2.39682539682539	0.598484848484848	3.32539682539682	2
epha4l	5.05929385912783e-10	0.556130257434533	0.505	0.26	9.8666348840711e-06	0.318840579710145	0.552238805970149	1.36507936507936	0.56060606060606	2.09523809523809	0.855555555555556
aldocb	1.16854287112719e-09	0.442175913200641	0.299	0.107	2.27889230727225e-05	0.231884057971015	0.164179104477612	0.555555555555556	0.151515151515151	0.722222222222222	0.111111111111111
iqca1	1.59167805414492e-09	0.395748890046292	0.274	0.087	3.10409054119341e-05	0.101449275362319	0.0298507462686567	0.261904761904762	0.0454545454545455	0.880952380952381	0.288888888888889
hoxd3a	1.96669512080425e-09	-0.378196363391698	0.04	0.19	3.83544882459244e-05	0.0289855072463768	0	0.00793650793650794	0.0151515151515152	0.0873015873015873	1.12222222222222
ctnnd2b	2.27159210872939e-09	0.516674566249685	0.688	0.509	4.43005893044407e-05	1.01449275362319	0.970149253731343	1.80952380952381	1.21212121212121	2.23809523809524	0.588888888888889
spega	2.42484281137436e-09	0.273281671208781	0.156	0.017	4.72892845074227e-05	0.0144927536231884	0.0298507462686567	0.26984126984127	0.0227272727272727	0.317460317460317	0.0111111111111111
pdgfbb	2.44464834049157e-09	0.254949848436524	0.15	0.014	4.76755319362667e-05	0.0579710144927536	0.0298507462686567	0.333333333333333	0.0303030303030303	0.19047619047619	0
qkib	2.72270886764123e-09	-0.584380109738156	0.523	0.682	5.30982683367392e-05	0.782608695652174	1.02985074626866	1	2.58333333333333	1.12698412698413	1.87777777777778
