	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
vasna	6.36917644090921e-19	0.989300111342791	0.75	0.065	9.65821915499473e-15	FB & eye.7	vasna
ufc1	4.87710147986841e-13	0.308417808481122	0.25	0.009	7.39563668407246e-09	FB & eye.7	ufc1
arxb	1.76697657375052e-12	0.378657063552345	0.333	0.019	2.67944327643529e-08	FB & eye.7	arxb
fezf2	2.16339633668836e-12	0.782669204348061	0.75	0.097	3.28057420495423e-08	FB & eye.7	fezf2
six7	6.12642143819992e-11	1.54130727768661	1	0.233	9.29010546888636e-07	FB & eye.7	six7
ipcef1	8.81220312968877e-11	0.38244366688333	0.333	0.023	1.33628248258601e-06	FB & eye.7	ipcef1
nr2f2	4.18808812110294e-09	0.882090509906455	0.583	0.09	6.35081682684049e-05	FB & eye.7	nr2f2
mitfa	7.29353047255572e-09	0.477509661651483	0.25	0.016	0.000110599096085835	FB & eye.7	mitfa
si:ch73-31d8.2	9.30148713747794e-09	0.310340120612151	0.167	0.007	0.000141047750952715	FB & eye.7	si:ch73-31d8.2
pax6a	1.45491557970349e-08	1.16876200658619	1	0.281	0.000220623398506238	FB & eye.7	pax6a
FAM107A.1	2.51745779409919e-08	0.388142272215783	0.25	0.017	0.000381747299897201	FB & eye.7	FAM107A.1
si:ch73-364h19.1	3.97207497888568e-08	1.08025613657964	0.667	0.133	0.000602325449798224	FB & eye.7	si:ch73-364h19.1
vcana	4.77887711193187e-08	1.35185173143748	1	0.308	0.000724668925253349	FB & eye.7	vcana
fam98b	9.06446487347906e-08	0.293130830579927	0.25	0.019	0.00137453545341436	FB & eye.7	fam98b
traf4a	1.4537099250307e-07	1.02413486650742	0.75	0.168	0.00220440573031655	FB & eye.7	traf4a
atxn3	1.5431694459422e-07	0.365481674804611	0.333	0.035	0.00234006214782676	FB & eye.7	atxn3
sox1b	2.37626706125522e-07	0.289334262491848	0.25	0.02	0.00360337137168742	FB & eye.7	sox1b
fgfrl1a	3.05639718372037e-07	1.25111671037308	0.75	0.185	0.00463472068939356	FB & eye.7	fgfrl1a
fgf12a	5.64337775990718e-07	0.348716792325206	0.333	0.038	0.00855761803512324	FB & eye.7	fgf12a
adgrb3	1.32052450806559e-06	0.283658077959645	0.25	0.023	0.0200244336403067	FB & eye.7	adgrb3
sox5	1.6795718316882e-06	1.15561752581351	0.917	0.336	0.0254690272557199	FB & eye.7	sox5
lhx2b	2.28489472519193e-06	0.530618139405078	0.75	0.168	0.0346481436128104	FB & eye.7	lhx2b
ek1	3.53613273578428e-06	1.0962153152593	1	0.421	0.0536219168054327	FB & eye.7	ek1
zgc:77158	4.35912730210936e-06	1.06791599445364	1	0.444	0.0661018064091863	FB & eye.7	zgc:77158
nxph2b	5.04545930756088e-06	0.279886324070437	0.25	0.026	0.0765093449398531	FB & eye.7	nxph2b
otx1	5.0799364799522e-06	0.613498411479673	0.5	0.097	0.0770321567819952	FB & eye.7	otx1
psmb1	6.64084408377877e-06	0.346865996637265	0.333	0.046	0.100701759686421	FB & eye.7	psmb1
chl1a	8.1876768771567e-06	0.916649356424697	0.583	0.129	0.124157932165204	FB & eye.7	chl1a
