	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
cyp26b1	7.27892193276318e-105	1.98127639606332	0.561	0.041	1.46277215160809e-100	r2/r4	cyp26b1
nr2f1b	3.46244652852509e-62	1.13517748258107	0.662	0.121	6.95813254372402e-58	r2/r4	nr2f1b
chl1b	6.88165007692292e-44	1.07271796814604	0.719	0.204	1.38293639945843e-39	r2/r4	chl1b
sema5ba	1.72989796327783e-41	1.20372322888151	0.914	0.381	3.47640294700313e-37	r2/r4	sema5ba
LHFPL6	1.93233146050756e-40	1.04748196403574	0.525	0.118	3.883213303036e-36	r2/r4	LHFPL6
nr2f2	4.26357598308088e-38	1.11773737122673	0.82	0.34	8.56808229559934e-34	r2/r4	nr2f2
pcdh19	6.35886199760205e-38	1.16111946829305	0.986	0.623	1.27787690703811e-33	r2/r4	pcdh19
rasal2	4.4481766943152e-37	1.12186067258822	0.957	0.655	8.93905588489583e-33	r2/r4	rasal2
mpz	2.60067058970257e-36	0.927705303686414	0.511	0.116	5.22630761706629e-32	r2/r4	mpz
jag2b	4.04633679730595e-36	1.06319229181494	0.971	0.595	8.13151842786605e-32	r2/r4	jag2b
epha4b	1.96052494653761e-34	1.15107714958136	0.906	0.472	3.93987093256199e-30	r2/r4	epha4b
ptprnb	6.29957705710685e-33	1.01123774992605	0.856	0.371	1.26596300539619e-28	r2/r4	ptprnb
plp1a	1.35328611222443e-32	0.988183516911388	0.878	0.394	2.71956377112621e-28	r2/r4	plp1a
crb1	5.32258830784801e-32	0.932544420675109	0.662	0.231	1.06962734634514e-27	r2/r4	crb1
efna2a	6.14446246364938e-32	1.5522991394784	0.849	0.462	1.23479117669498e-27	r2/r4	efna2a
cntfr	9.30437202457582e-32	1.22520917265567	0.978	0.707	1.86980660205876e-27	r2/r4	cntfr
robo4	7.57099328188777e-31	0.988311353076541	0.655	0.227	1.52146680992817e-26	r2/r4	robo4
ptprn2	2.56814433493982e-29	0.858322094639139	0.777	0.316	5.16094285549506e-25	r2/r4	ptprn2
sox13	3.12844542648636e-29	1.26437704861455	0.835	0.454	6.28692392906698e-25	r2/r4	sox13
gas7a	4.38171330276877e-28	0.657867389515866	0.468	0.125	8.80549105324412e-24	r2/r4	gas7a
zeb2b	6.93036711760365e-28	0.613936167821939	0.54	0.161	1.39272657595363e-23	r2/r4	zeb2b
ptprfb	1.01988353570268e-27	0.899244013006062	0.986	0.889	2.04955795334811e-23	r2/r4	ptprfb
adgrl2a	2.24550611794422e-27	0.877561304287589	0.971	0.78	4.51256909462069e-23	r2/r4	adgrl2a
pou3f3b	2.76364804492888e-27	0.68805134562537	0.568	0.189	5.55382711108908e-23	r2/r4	pou3f3b
adgrv1	1.37757926711419e-25	0.930717042556207	0.914	0.539	2.76838329519267e-21	r2/r4	adgrv1
nova2	2.63397535691174e-25	0.852680499647165	0.978	0.601	5.29323687724983e-21	r2/r4	nova2
ndst3	6.59491009185264e-25	0.844594045234569	0.568	0.204	1.32531313205871e-20	r2/r4	ndst3
zbtb16a	2.12424186041051e-24	0.763387663804509	0.993	0.893	4.26887644268096e-20	r2/r4	zbtb16a
msi1	2.1373643399589e-24	0.779484801937963	0.942	0.5	4.2952473775814e-20	r2/r4	msi1
pax6a	9.28576365852242e-24	0.942270096716631	0.511	0.172	1.86606706481667e-19	r2/r4	pax6a
ptprna	2.02014100340587e-23	0.682811089840721	0.727	0.311	4.05967536044444e-19	r2/r4	ptprna
pvrl2l	2.24088154989217e-23	0.832724896951923	0.964	0.575	4.5032755626633e-19	r2/r4	pvrl2l
sulf2b	2.37302603189393e-23	1.03429755835072	0.331	0.078	4.76883311369404e-19	r2/r4	sulf2b
bmpr1ba	2.0427774303633e-22	0.762539096431771	0.827	0.407	4.10516552405809e-18	r2/r4	bmpr1ba
lamb2l	2.48800135876451e-22	0.67147114567212	0.604	0.236	4.99988753057316e-18	r2/r4	lamb2l
vwa7	5.9433156910224e-22	0.654639475989065	0.482	0.16	1.19436872126786e-17	r2/r4	vwa7
auts2b	2.90771912291334e-21	0.844538828860676	0.583	0.245	5.84335234940666e-17	r2/r4	auts2b
si:dkey-35m8.1	3.00722596757864e-21	0.97316664151601	0.59	0.252	6.04332130444603e-17	r2/r4	si:dkey-35m8.1
st8sia2	3.74810556684718e-21	0.638376109425612	0.655	0.281	7.53219294713609e-17	r2/r4	st8sia2
tet3	1.01449525789801e-19	0.682710647856888	0.942	0.741	2.03872967027185e-15	r2/r4	tet3
ephb2b	1.28462464255787e-19	0.769758441766469	0.691	0.341	2.5815816816843e-15	r2/r4	ephb2b
hs3st3b1b	3.09063378221565e-19	0.625010052333929	0.734	0.353	6.21093764874057e-15	r2/r4	hs3st3b1b
mapk11	4.62189636781635e-19	0.54450552373972	0.511	0.196	9.28816294076373e-15	r2/r4	mapk11
cspg5a	1.39031105862476e-18	0.598492622397808	0.683	0.305	2.79396910341232e-14	r2/r4	cspg5a
acsl2	1.43321710296426e-18	0.597384243361084	0.647	0.298	2.88019309011699e-14	r2/r4	acsl2
rgs3b	1.56851199490097e-18	0.536111843445852	0.518	0.197	3.15208170495299e-14	r2/r4	rgs3b
fhod3b	2.88533446057307e-18	1.0290875122433	0.719	0.387	5.79836813196763e-14	r2/r4	fhod3b
epha7	3.07231413893434e-18	1.01756129123347	0.784	0.502	6.17412249360245e-14	r2/r4	epha7
irx3a	3.56406265295657e-18	0.444413469525956	0.453	0.159	7.16234030738152e-14	r2/r4	irx3a
cadm1a	4.26598738674203e-18	0.725837622555141	0.899	0.541	8.57292825239679e-14	r2/r4	cadm1a
fat3a	4.29387878147477e-18	0.673483769377655	0.914	0.6	8.6289787992517e-14	r2/r4	fat3a
cdh7a	5.40008875603179e-18	0.997603624192632	0.504	0.2	1.08520183641215e-13	r2/r4	cdh7a
CT990561.1	7.24707933102088e-18	0.883842211937884	0.468	0.176	1.45637306236196e-13	r2/r4	CT990561.1
efnb3b	1.04673176580191e-17	0.630543295760661	0.942	0.675	2.10351215655551e-13	r2/r4	efnb3b
qkib	1.94944773733694e-17	0.663865988150953	0.669	0.32	3.91761017295231e-13	r2/r4	qkib
robo1	2.01736170700538e-17	0.665791011686648	0.964	0.805	4.054090086398e-13	r2/r4	robo1
lmo3	2.20351023211877e-17	0.598342655319037	0.482	0.181	4.42817416246588e-13	r2/r4	lmo3
arhgef10la	8.03642919345691e-17	0.628722125352886	0.64	0.318	1.6150008107171e-12	r2/r4	arhgef10la
ncam1a	8.73996786628952e-17	0.583901178973611	0.986	0.575	1.75638394240954e-12	r2/r4	ncam1a
fhdc1	1.29544183950097e-16	0.477121429841217	0.597	0.258	2.60331992066115e-12	r2/r4	fhdc1
sh2d3ca	1.47294402908987e-16	0.5328337346942	0.518	0.218	2.960028320859e-12	r2/r4	sh2d3ca
epb41a	1.71026217443169e-16	0.586791067453181	0.878	0.524	3.43694286573793e-12	r2/r4	epb41a
mn1a	2.60730117601662e-16	0.479695106542607	0.46	0.172	5.23963244332299e-12	r2/r4	mn1a
skap2	2.69677917014294e-16	0.334817470684569	0.259	0.065	5.41944742031926e-12	r2/r4	skap2
blmh	5.11504266772888e-16	0.538845507347008	0.878	0.591	1.0279189745068e-11	r2/r4	blmh
lrp2a	1.47825511268383e-15	0.542696250277954	0.791	0.445	2.97070147444943e-11	r2/r4	lrp2a
lrig1	1.943264899514e-15	0.630561554283442	0.885	0.606	3.90518514206333e-11	r2/r4	lrig1
pax7b	2.03529994238259e-15	1.0428755251745	0.403	0.155	4.09013876421204e-11	r2/r4	pax7b
plch1	2.23524985706412e-15	0.484173632913093	0.892	0.531	4.49195811275606e-11	r2/r4	plch1
srgap1a	2.46981193834855e-15	0.579831469345322	0.928	0.711	4.96333407130524e-11	r2/r4	srgap1a
celsr1b	2.53825701460004e-15	0.651079108532646	0.727	0.405	5.10088129654024e-11	r2/r4	celsr1b
SFMBT1	7.61481001521473e-15	0.483106471801568	0.381	0.142	1.53027222065755e-10	r2/r4	SFMBT1
clstn1	8.12179031636217e-15	0.50249439198823	0.547	0.248	1.63215498197614e-10	r2/r4	clstn1
