	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
cyp26c1	1.7620785774353e-53	2.2018085258156	0.541	0.092	3.58265816364145e-49	r1 r2 & r4	cyp26c1
plp1a	2.50432284504439e-51	1.87449654800342	0.827	0.248	5.09178920854426e-47	r1 r2 & r4	plp1a
skap2	6.21379947583968e-43	2.25989783595206	0.444	0.074	1.26338970942772e-38	r1 r2 & r4	skap2
lamb2	2.1623424389752e-40	1.76856627998405	0.707	0.204	4.39647464692437e-36	r1 r2 & r4	lamb2
si:dkey-27i16.2	2.069694755396e-35	1.95861696627835	0.263	0.029	4.20810337667116e-31	r1 r2 & r4	si:dkey-27i16.2
nr2f2	3.29851484144736e-35	1.87782143046013	0.737	0.271	6.70654037563078e-31	r1 r2 & r4	nr2f2
ndst3	1.28444087790811e-34	1.92527049331634	0.579	0.163	2.61152519296277e-30	r1 r2 & r4	ndst3
cyp26b1	1.83754305433116e-34	2.38172012659029	0.256	0.028	3.73609253806611e-30	r1 r2 & r4	cyp26b1
plxdc2	3.95801911845406e-34	1.47783658007226	0.842	0.362	8.0474444716408e-30	r1 r2 & r4	plxdc2
vgll3	2.41353056223836e-33	2.00128468853553	0.173	0.011	4.90719033914303e-29	r1 r2 & r4	vgll3
lamb2l	1.36987810793879e-32	1.75961695196359	0.654	0.219	2.78523616906114e-28	r1 r2 & r4	lamb2l
cntfr	1.6725316857059e-30	1.43672592215749	0.962	0.667	3.40059142337723e-26	r1 r2 & r4	cntfr
mpz	4.09820205134479e-30	1.97018857081298	0.331	0.058	8.33246441079422e-26	r1 r2 & r4	mpz
st8sia2	5.19705716423161e-29	1.83339089607295	0.346	0.067	1.05666566263157e-24	r1 r2 & r4	st8sia2
hoxa2b	6.66507858064131e-29	1.70220571463674	0.293	0.047	1.35514377701599e-24	r1 r2 & r4	hoxa2b
epha4b	1.04166772025524e-28	1.6449211560644	0.752	0.317	2.11791880882294e-24	r1 r2 & r4	epha4b
ptprna	4.0441932245134e-28	1.41196948172468	0.722	0.296	8.22265366408065e-24	r1 r2 & r4	ptprna
adgrv1	2.11984838955403e-27	1.1667097811062	0.947	0.53	4.31007574564125e-23	r1 r2 & r4	adgrv1
rgs3b	1.64876656237876e-26	1.69253677025999	0.444	0.117	3.35227217462849e-22	r1 r2 & r4	rgs3b
rasal2	4.83406717038409e-25	1.20788609361894	0.895	0.612	9.82862537082493e-21	r1 r2 & r4	rasal2
irx1a	1.20607326952557e-24	1.56580829739921	0.278	0.05	2.45218817159938e-20	r1 r2 & r4	irx1a
adgrl2a	2.76219656526463e-24	1.0347356243238	0.947	0.729	5.61609805649604e-20	r1 r2 & r4	adgrl2a
lrp2a	3.09849556219205e-24	1.25173227227989	0.82	0.429	6.29986117704888e-20	r1 r2 & r4	lrp2a
sorbs2b	7.32301818536497e-24	1.52298238263955	0.624	0.242	1.48891605744841e-19	r1 r2 & r4	sorbs2b
nrarpb	3.39136379191097e-23	1.36492210573515	0.647	0.266	6.89532086171338e-19	r1 r2 & r4	nrarpb
mbd3b	8.92796549658544e-23	1.19408070957403	0.805	0.416	1.81523394476575e-18	r1 r2 & r4	mbd3b
mapk11	1.20013895912393e-22	1.53696670932692	0.421	0.12	2.44012253169078e-18	r1 r2 & r4	mapk11
plch1	1.2987080882637e-22	1.07702330786581	0.872	0.453	2.64053328505776e-18	r1 r2 & r4	plch1
irx3a	2.24542258965159e-22	1.52422345371211	0.323	0.073	4.56539320927961e-18	r1 r2 & r4	irx3a
efnb3b	2.40091452626469e-22	1.17904434138752	0.872	0.509	4.88153941480136e-18	r1 r2 & r4	efnb3b
acsl2	4.83122855129115e-22	1.46408877844828	0.639	0.264	9.82285389048517e-18	r1 r2 & r4	acsl2
sox13	3.41516414791814e-21	1.43059029974801	0.677	0.316	6.94371174554716e-17	r1 r2 & r4	sox13
ncam1a	5.71620598105537e-21	0.964238304850386	0.91	0.501	1.16221900006818e-16	r1 r2 & r4	ncam1a
chl1b	6.36773387701234e-21	1.49673878194209	0.421	0.126	1.29468765187415e-16	r1 r2 & r4	chl1b
nat8l	9.96000673905863e-21	1.28379085857538	0.722	0.337	2.0250685701854e-16	r1 r2 & r4	nat8l
cyp2p7	1.75023391588532e-20	1.50358151607153	0.271	0.056	3.55857559777804e-16	r1 r2 & r4	cyp2p7
rfx4	2.03857141854566e-20	0.925972735064233	0.895	0.432	4.14482340818705e-16	r1 r2 & r4	rfx4
BX324164.5	3.09409359005746e-20	1.28374459383222	0.414	0.123	6.29091108730483e-16	r1 r2 & r4	BX324164.5
nova2	3.56269880817869e-20	0.853698404435701	0.992	0.72	7.24367921678891e-16	r1 r2 & r4	nova2
lrig1	4.4661185388228e-20	1.22210833887101	0.857	0.566	9.08051221313452e-16	r1 r2 & r4	lrig1
auts2b	3.10158401894699e-19	1.48110356091341	0.564	0.238	6.30614062732301e-15	r1 r2 & r4	auts2b
dtnba	5.38929987633837e-19	1.1071961976007	0.744	0.372	1.09575245085712e-14	r1 r2 & r4	dtnba
epha7	1.40192584087435e-18	1.15804490159554	0.782	0.432	2.85039561966574e-14	r1 r2 & r4	epha7
msi1	2.48751605958618e-18	0.889593972595613	0.88	0.476	5.05761765235063e-14	r1 r2 & r4	msi1
bmpr1ba	3.97510036817984e-18	1.07678207600549	0.677	0.319	8.08217406858324e-14	r1 r2 & r4	bmpr1ba
pvrl2l	4.16920331760779e-18	0.939631306619325	0.887	0.527	8.47682418536017e-14	r1 r2 & r4	pvrl2l
negr1	2.21969738264897e-17	1.01859639830108	0.789	0.411	4.51308871840188e-13	r1 r2 & r4	negr1
pou3f3b	2.70003538601828e-17	1.27058373651217	0.459	0.164	5.48971194685237e-13	r1 r2 & r4	pou3f3b
irx1b	4.2247275110581e-17	1.43672326506757	0.278	0.069	8.58971597548334e-13	r1 r2 & r4	irx1b
celf2	7.21939370340541e-17	1.27128831634162	0.669	0.326	1.46784712777639e-12	r1 r2 & r4	celf2
tet3	1.34236788820468e-16	0.85795685730335	0.91	0.567	2.72930239029776e-12	r1 r2 & r4	tet3
celsr1b	1.54810721143145e-16	0.989140017940983	0.714	0.368	3.14761158228243e-12	r1 r2 & r4	celsr1b
cgnl1	1.57616673764974e-16	0.961210852660031	0.85	0.519	3.20466221098946e-12	r1 r2 & r4	cgnl1
ccdc85ca	2.06988915905884e-16	1.04731221830795	0.737	0.373	4.20849863819844e-12	r1 r2 & r4	ccdc85ca
blmh	4.14308577621718e-16	0.843531990765458	0.872	0.586	8.42372200020476e-12	r1 r2 & r4	blmh
cxcl12a	7.49841469689257e-16	0.887408585881529	0.571	0.24	1.5245776761722e-11	r1 r2 & r4	cxcl12a
fam189a1	9.91581986677908e-16	1.48937413915471	0.323	0.098	2.01608449531352e-11	r1 r2 & r4	fam189a1
ank2b	2.21567901090386e-15	1.0152586361105	0.737	0.407	4.50491856496972e-11	r1 r2 & r4	ank2b
gpm6bb	2.26768924563216e-15	1.22964315015475	0.534	0.239	4.61066577421931e-11	r1 r2 & r4	gpm6bb
ptprnb	2.31123195066419e-15	1.0384587328542	0.579	0.256	4.69919680209043e-11	r1 r2 & r4	ptprnb
