	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
nhlh2	2.3227676010118e-92	0.969221995096958	0.492	0.004	4.19375690362681e-88	Neuron	nhlh2
stxbp1a	2.0678774374638e-80	1.37024965871207	0.54	0.015	3.7335527133409e-76	Neuron	stxbp1a
srrm4	3.44118045552762e-78	3.00475324172307	0.841	0.079	6.21305131245512e-74	Neuron	srrm4
onecutl	1.77564817248671e-77	0.832648942221514	0.492	0.011	3.20593277542476e-73	Neuron	onecutl
ebf3a.1	1.06461381855279e-69	2.94686970530846	0.571	0.028	1.92216024939707e-65	Neuron	ebf3a.1
BX530077.1	9.48478181091026e-69	1.8480409926385	0.635	0.04	1.71247735595985e-64	Neuron	BX530077.1
dlb	5.60828280891707e-68	2.33184688916436	0.825	0.09	1.01257546114998e-63	Neuron	dlb
myt1a	1.25257720832923e-67	2.28104503844679	0.889	0.109	2.26152814963842e-63	Neuron	myt1a
vim	6.78599826795118e-65	1.43436112233366	0.508	0.021	1.22521198727859e-60	Neuron	vim
myt1b	1.24168253118443e-64	1.81754204983131	0.683	0.055	2.2418578100535e-60	Neuron	myt1b
scrt2	1.85735703485554e-57	0.855918721544361	0.349	0.006	3.35345812643168e-53	Neuron	scrt2
ebf2	2.94241766381183e-57	2.5519966032427	0.984	0.211	5.31253509201225e-53	Neuron	ebf2
onecut1	9.20466319176996e-52	0.732344036425828	0.286	0.003	1.66190193927407e-47	Neuron	onecut1
neurod1	5.05507429619213e-51	0.561878887608115	0.238	0	9.12693664177488e-47	Neuron	neurod1
nfasca	1.67902984320675e-50	2.54410321014705	0.968	0.226	3.03148838190979e-46	Neuron	nfasca
insm1b	7.6495953061779e-50	0.787205971460347	0.349	0.011	1.38113443253042e-45	Neuron	insm1b
neurod4	3.03573933345613e-47	0.979521796434621	0.476	0.032	5.48102736655503e-43	Neuron	neurod4
elavl3	2.33631299974101e-46	2.87550783282209	0.968	0.322	4.21821312103239e-42	Neuron	elavl3
onecut2	3.65148822676405e-46	1.67550570497846	0.857	0.166	6.59276199342249e-42	Neuron	onecut2
mark4a	6.43635746559531e-46	0.459504779470036	0.27	0.004	1.16208434041323e-41	Neuron	mark4a
dlc	8.0919453131881e-46	0.92141316085722	0.302	0.007	1.46100072629611e-41	Neuron	dlc
celsr3	1.48206277982569e-45	0.866007539167945	0.429	0.026	2.67586434897529e-41	Neuron	celsr3
gadd45ga	2.58368644463988e-45	0.607284954353775	0.317	0.01	4.6648458757973e-41	Neuron	gadd45ga
im:7152348	2.96020009774056e-45	0.74426636877797	0.317	0.01	5.34464127647059e-41	Neuron	im:7152348
cbfa2t3	6.70258090895665e-44	0.893058863722463	0.349	0.015	1.21015098311212e-39	Neuron	cbfa2t3
amph	9.52996227678752e-44	0.61493852689721	0.27	0.005	1.72063468907399e-39	Neuron	amph
unm-sa1261	4.15665722514307e-42	0.545005069043719	0.302	0.01	7.50484461999582e-38	Neuron	unm-sa1261
thsd7aa	4.03726977796858e-41	2.00477714026187	0.698	0.117	7.28929058412227e-37	Neuron	thsd7aa
pgbd5	4.73806739958906e-41	0.344648171387446	0.19	0	8.55458068995804e-37	Neuron	pgbd5
sncb	5.19216485565703e-41	0.580284278930934	0.286	0.009	9.37445364688877e-37	Neuron	sncb
sypa	5.63874985847926e-41	0.324958659868781	0.206	0.001	1.01807628694843e-36	Neuron	sypa
myo10l3	5.85153673175563e-41	1.80676221107806	0.81	0.171	1.05649495691848e-36	Neuron	myo10l3
zgc:77784	5.19197712039847e-40	1.9853978072215	0.413	0.03	9.37411469087944e-36	Neuron	zgc:77784
klf7b	1.34587478441472e-39	1.05224481671472	0.365	0.021	2.42997692326077e-35	Neuron	klf7b
gadd45gb.1	2.56748127173305e-39	1.70391562809931	0.762	0.134	4.63558743611402e-35	Neuron	gadd45gb.1
kazna	8.7729835063247e-39	1.71948188548878	0.524	0.059	1.58396217206692e-34	Neuron	kazna
atp6v0a1b	2.88686689284855e-38	0.539240887344201	0.349	0.019	5.21223817503805e-34	Neuron	atp6v0a1b
tuba8l3	5.02203126008061e-38	0.578755190244189	0.27	0.009	9.06727744007554e-34	Neuron	tuba8l3
tmsb	1.27430484051743e-36	0.464900947755455	0.333	0.018	2.30075738955423e-32	Neuron	tmsb
clvs2	1.45737016321635e-34	0.856813601160083	0.365	0.027	2.63128182968712e-30	Neuron	clvs2
si:dkey-153k10.9	1.98584119596741e-34	0.270647589943669	0.159	0	3.58543627931917e-30	Neuron	si:dkey-153k10.9
ebf3a	2.19435651516461e-33	2.26351140866204	0.524	0.074	3.9619106881297e-29	Neuron	ebf3a
afap1	2.20373781044379e-33	1.47093026152831	0.778	0.198	3.97884861675625e-29	Neuron	afap1
onecut3b	1.62281319419483e-32	0.833670680961733	0.222	0.006	2.92998922211877e-28	Neuron	onecut3b
snap91a	1.99703172055636e-32	0.65681729981248	0.413	0.04	3.6056407714645e-28	Neuron	snap91a
fstl1a	2.75551485095853e-32	1.36568365089881	0.587	0.098	4.97508206340562e-28	Neuron	fstl1a
aplp1	6.82280713364841e-32	1.2152398190155	0.397	0.039	1.23185782798022e-27	Neuron	aplp1
