	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
cyp26c1	1.7620785774353e-53	1.01826033531829	0.541	0.092	3.58265816364145e-49	r1 r2 & r4	cyp26c1
plp1a	2.50432284504439e-51	1.07346623894634	0.827	0.248	5.09178920854426e-47	r1 r2 & r4	plp1a
skap2	6.21379947583968e-43	0.889143953961666	0.444	0.074	1.26338970942772e-38	r1 r2 & r4	skap2
lamb2	2.1623424389752e-40	0.935994928210251	0.707	0.204	4.39647464692437e-36	r1 r2 & r4	lamb2
si:dkey-27i16.2	2.069694755396e-35	0.463565601318106	0.263	0.029	4.20810337667116e-31	r1 r2 & r4	si:dkey-27i16.2
nr2f2	3.29851484144736e-35	1.09710450995231	0.737	0.271	6.70654037563078e-31	r1 r2 & r4	nr2f2
ndst3	1.28444087790811e-34	0.9318367880317	0.579	0.163	2.61152519296277e-30	r1 r2 & r4	ndst3
cyp26b1	1.83754305433116e-34	0.685477326114559	0.256	0.028	3.73609253806611e-30	r1 r2 & r4	cyp26b1
plxdc2	3.95801911845406e-34	1.01501741169177	0.842	0.362	8.0474444716408e-30	r1 r2 & r4	plxdc2
vgll3	2.41353056223836e-33	0.433434593277635	0.173	0.011	4.90719033914303e-29	r1 r2 & r4	vgll3
lamb2l	1.36987810793879e-32	0.893227069830443	0.654	0.219	2.78523616906114e-28	r1 r2 & r4	lamb2l
cntfr	1.6725316857059e-30	1.23268309563039	0.962	0.667	3.40059142337723e-26	r1 r2 & r4	cntfr
mpz	4.09820205134479e-30	0.618289574029892	0.331	0.058	8.33246441079422e-26	r1 r2 & r4	mpz
st8sia2	5.19705716423161e-29	0.538017927969465	0.346	0.067	1.05666566263157e-24	r1 r2 & r4	st8sia2
hoxa2b	6.66507858064131e-29	0.418216201331779	0.293	0.047	1.35514377701599e-24	r1 r2 & r4	hoxa2b
epha4b	1.04166772025524e-28	1.08413553427372	0.752	0.317	2.11791880882294e-24	r1 r2 & r4	epha4b
ptprna	4.0441932245134e-28	0.799587079604593	0.722	0.296	8.22265366408065e-24	r1 r2 & r4	ptprna
adgrv1	2.11984838955403e-27	0.907764605896151	0.947	0.53	4.31007574564125e-23	r1 r2 & r4	adgrv1
rgs3b	1.64876656237876e-26	0.60342832985849	0.444	0.117	3.35227217462849e-22	r1 r2 & r4	rgs3b
rasal2	4.83406717038409e-25	0.87734991437194	0.895	0.612	9.82862537082493e-21	r1 r2 & r4	rasal2
irx1a	1.20607326952557e-24	0.375309655292112	0.278	0.05	2.45218817159938e-20	r1 r2 & r4	irx1a
adgrl2a	2.76219656526463e-24	0.829463578243308	0.947	0.729	5.61609805649604e-20	r1 r2 & r4	adgrl2a
lrp2a	3.09849556219205e-24	0.845925540700979	0.82	0.429	6.29986117704888e-20	r1 r2 & r4	lrp2a
sorbs2b	7.32301818536497e-24	0.860689798779096	0.624	0.242	1.48891605744841e-19	r1 r2 & r4	sorbs2b
nrarpb	3.39136379191097e-23	0.647980740754494	0.647	0.266	6.89532086171338e-19	r1 r2 & r4	nrarpb
mbd3b	8.92796549658544e-23	0.782509539708092	0.805	0.416	1.81523394476575e-18	r1 r2 & r4	mbd3b
mapk11	1.20013895912393e-22	0.512099229706596	0.421	0.12	2.44012253169078e-18	r1 r2 & r4	mapk11
plch1	1.2987080882637e-22	0.753285236543709	0.872	0.453	2.64053328505776e-18	r1 r2 & r4	plch1
irx3a	2.24542258965159e-22	0.426560202269231	0.323	0.073	4.56539320927961e-18	r1 r2 & r4	irx3a
efnb3b	2.40091452626469e-22	0.839341219502082	0.872	0.509	4.88153941480136e-18	r1 r2 & r4	efnb3b
acsl2	4.83122855129115e-22	0.738261400410531	0.639	0.264	9.82285389048517e-18	r1 r2 & r4	acsl2
sox13	3.41516414791814e-21	0.83731211221838	0.677	0.316	6.94371174554716e-17	r1 r2 & r4	sox13
ncam1a	5.71620598105537e-21	0.777116854439354	0.91	0.501	1.16221900006818e-16	r1 r2 & r4	ncam1a
chl1b	6.36773387701234e-21	0.602480086535507	0.421	0.126	1.29468765187415e-16	r1 r2 & r4	chl1b
nat8l	9.96000673905863e-21	0.796089917670427	0.722	0.337	2.0250685701854e-16	r1 r2 & r4	nat8l
cyp2p7	1.75023391588532e-20	0.374238755387342	0.271	0.056	3.55857559777804e-16	r1 r2 & r4	cyp2p7
rfx4	2.03857141854566e-20	0.682889576090926	0.895	0.432	4.14482340818705e-16	r1 r2 & r4	rfx4
BX324164.5	3.09409359005746e-20	0.405823385650051	0.414	0.123	6.29091108730483e-16	r1 r2 & r4	BX324164.5
nova2	3.56269880817869e-20	0.74678555434298	0.992	0.72	7.24367921678891e-16	r1 r2 & r4	nova2
lrig1	4.4661185388228e-20	0.893166770885896	0.857	0.566	9.08051221313452e-16	r1 r2 & r4	lrig1
auts2b	3.10158401894699e-19	0.794712181349559	0.564	0.238	6.30614062732301e-15	r1 r2 & r4	auts2b
dtnba	5.38929987633837e-19	0.639676508275734	0.744	0.372	1.09575245085712e-14	r1 r2 & r4	dtnba
epha7	1.40192584087435e-18	0.849856053097734	0.782	0.432	2.85039561966574e-14	r1 r2 & r4	epha7
msi1	2.48751605958618e-18	0.62781916777322	0.88	0.476	5.05761765235063e-14	r1 r2 & r4	msi1
bmpr1ba	3.97510036817984e-18	0.639451140402826	0.677	0.319	8.08217406858324e-14	r1 r2 & r4	bmpr1ba
pvrl2l	4.16920331760779e-18	0.715240855479471	0.887	0.527	8.47682418536017e-14	r1 r2 & r4	pvrl2l
negr1	2.21969738264897e-17	0.707878713462807	0.789	0.411	4.51308871840188e-13	r1 r2 & r4	negr1
pou3f3b	2.70003538601828e-17	0.483405216372643	0.459	0.164	5.48971194685237e-13	r1 r2 & r4	pou3f3b
irx1b	4.2247275110581e-17	0.402600489707127	0.278	0.069	8.58971597548334e-13	r1 r2 & r4	irx1b
celf2	7.21939370340541e-17	0.789659556635521	0.669	0.326	1.46784712777639e-12	r1 r2 & r4	celf2
tet3	1.34236788820468e-16	0.633238953441604	0.91	0.567	2.72930239029776e-12	r1 r2 & r4	tet3
celsr1b	1.54810721143145e-16	0.565021273649452	0.714	0.368	3.14761158228243e-12	r1 r2 & r4	celsr1b
